step, x1, x2, y, phi1, phi2, Ax, Bx, Ay, By, C, taken_time
70, -0.212724, 0.212724, 0.172001, 2.187914, 2.187914, -0.353000, 0.353000, 0.275000, 0.275000, 1.178097, 1.029671
71, -0.207439, 0.207439, 0.176024, 2.167946, 2.167946, -0.353000, 0.353000, 0.278313, 0.278313, 1.178097, 1.028505
72, -0.202317, 0.202317, 0.179947, 2.149136, 2.149136, -0.353000, 0.353000, 0.281455, 0.281455, 1.178097, 1.041554
73, -0.197401, 0.197401, 0.183738, 2.131554, 2.131554, -0.353000, 0.353000, 0.284407, 0.284407, 1.178097, 1.027567
74, -0.192730, 0.192730, 0.187361, 2.115262, 2.115262, -0.353000, 0.353000, 0.287150, 0.287150, 1.178097, 1.052090
75, -0.188346, 0.188346, 0.190782, 2.100317, 2.100317, -0.353000, 0.353000, 0.289666, 0.289666, 1.178097, 1.035662
76, -0.184285, 0.184285, 0.193967, 2.086767, 2.086767, -0.353000, 0.353000, 0.291940, 0.291940, 1.178097, 1.056464
77, -0.180585, 0.180585, 0.196883, 2.074655, 2.074655, -0.353000, 0.353000, 0.293955, 0.293955, 1.178097, 1.053340
78, -0.177279, 0.177279, 0.199499, 2.064018, 2.064018, -0.353000, 0.353000, 0.295700, 0.295700, 1.178097, 1.045691
79, -0.174398, 0.174398, 0.201788, 2.054886, 2.054886, -0.353000, 0.353000, 0.297163, 0.297163, 1.178097, 1.046895
80, -0.171970, 0.171970, 0.203722, 2.047287, 2.047287, -0.353000, 0.353000, 0.298333, 0.298333, 1.178097, 1.061783
81, -0.170018, 0.170018, 0.205282, 2.041241, 2.041241, -0.353000, 0.353000, 0.299203, 0.299203, 1.178097, 1.032167
82, -0.168562, 0.168562, 0.206448, 2.036765, 2.036765, -0.353000, 0.353000, 0.299768, 0.299768, 1.178097, 1.024476
83, -0.167614, 0.167614, 0.207208, 2.033870, 2.033870, -0.353000, 0.353000, 0.300023, 0.300023, 1.178097, 1.012099
84, -0.167186, 0.167186, 0.207552, 2.032565, 2.032565, -0.353000, 0.353000, 0.299967, 0.299967, 1.178097, 0.966376
85, -0.167280, 0.167280, 0.207476, 2.032852, 2.032852, -0.353000, 0.353000, 0.299600, 0.299600, 1.178097, 0.858898
86, -0.167897, 0.167897, 0.206982, 2.034731, 2.034731, -0.353000, 0.353000, 0.298924, 0.298924, 1.178097, 0.973992
87, -0.169029, 0.169029, 0.206074, 2.038198, 2.038198, -0.353000, 0.353000, 0.297945, 0.297945, 1.178097, 1.013919
88, -0.170666, 0.170666, 0.204764, 2.043242, 2.043242, -0.353000, 0.353000, 0.296668, 0.296668, 1.178097, 1.021190
89, -0.172792, 0.172792, 0.203067, 2.049850, 2.049850, -0.353000, 0.353000, 0.295103, 0.295103, 1.178097, 1.030948
90, -0.175386, 0.175386, 0.201002, 2.058005, 2.058005, -0.353000, 0.353000, 0.293259, 0.293259, 1.178097, 1.048064
91, -0.178424, 0.178424, 0.198592, 2.067682, 2.067682, -0.353000, 0.353000, 0.291149, 0.291149, 1.178097, 1.048548
92, -0.181875, 0.181875, 0.195864, 2.078856, 2.078856, -0.353000, 0.353000, 0.288786, 0.288786, 1.178097, 1.061237
93, -0.185710, 0.185710, 0.192848, 2.091491, 2.091491, -0.353000, 0.353000, 0.286186, 0.286186, 1.178097, 1.042681
