step,x1,x2,y,phi1,phi2,Ax,Bx,Ay,By,C,calc_time,anim_time
78,-0.177279,0.177279,0.199499,2.064018,2.064018,-0.353000,0.353000,0.295700,0.295700,1.178097,1.021727,0.780000
79,-0.174398,0.174398,0.201788,2.054886,2.054886,-0.353000,0.353000,0.297163,0.297163,1.178097,1.015447,0.790000
80,-0.171970,0.171970,0.203722,2.047287,2.047287,-0.353000,0.353000,0.298333,0.298333,1.178097,1.035293,0.800000
81,-0.170018,0.170018,0.205282,2.041241,2.041241,-0.353000,0.353000,0.299203,0.299203,1.178097,1.003635,0.810000
82,-0.168562,0.168562,0.206448,2.036765,2.036765,-0.353000,0.353000,0.299768,0.299768,1.178097,0.994818,0.820000
83,-0.167614,0.167614,0.207208,2.033870,2.033870,-0.353000,0.353000,0.300023,0.300023,1.178097,0.987028,0.830000
84,-0.167186,0.167186,0.207552,2.032565,2.032565,-0.353000,0.353000,0.299967,0.299967,1.178097,0.944997,0.840000
85,-0.167280,0.167280,0.207476,2.032852,2.032852,-0.353000,0.353000,0.299600,0.299600,1.178097,0.839991,0.850000
86,-0.167897,0.167897,0.206982,2.034731,2.034731,-0.353000,0.353000,0.298924,0.298924,1.178097,0.952029,0.860000
87,-0.169029,0.169029,0.206074,2.038198,2.038198,-0.353000,0.353000,0.297945,0.297945,1.178097,0.990900,0.870000
88,-0.170666,0.170666,0.204764,2.043242,2.043242,-0.353000,0.353000,0.296668,0.296668,1.178097,0.999177,0.880000
89,-0.172792,0.172792,0.203067,2.049850,2.049850,-0.353000,0.353000,0.295103,0.295103,1.178097,1.007030,0.890000
90,-0.175386,0.175386,0.201002,2.058005,2.058005,-0.353000,0.353000,0.293259,0.293259,1.178097,1.013850,0.900000
91,-0.178424,0.178424,0.198592,2.067682,2.067682,-0.353000,0.353000,0.291149,0.291149,1.178097,1.021185,0.910000
92,-0.181875,0.181875,0.195864,2.078856,2.078856,-0.353000,0.353000,0.288786,0.288786,1.178097,1.058207,0.920000
93,-0.185710,0.185710,0.192848,2.091491,2.091491,-0.353000,0.353000,0.286186,0.286186,1.178097,1.009002,0.930000
94,-0.189892,0.189892,0.189574,2.105549,2.105549,-0.353000,0.353000,0.283366,0.283366,1.178097,1.018642,0.940000
95,-0.194384,0.194384,0.186076,2.120986,2.120986,-0.353000,0.353000,0.280343,0.280343,1.178097,1.002152,0.950000
96,-0.199148,0.199148,0.182388,2.137750,2.137750,-0.353000,0.353000,0.277136,0.277136,1.178097,1.052942,0.960000
97,-0.204143,0.204143,0.178546,2.155783,2.155783,-0.353000,0.353000,0.273767,0.273767,1.178097,0.994042,0.970000
98,-0.209328,0.209328,0.174583,2.175019,2.175019,-0.353000,0.353000,0.270254,0.270254,1.178097,1.025989,0.980000
99,-0.214663,0.214663,0.170533,2.195386,2.195386,-0.353000,0.353000,0.266621,0.266621,1.178097,0.984280,0.990000
100,-0.220107,0.220107,0.166430,2.216803,2.216803,-0.353000,0.353000,0.262887,0.262887,1.178097,0.995830,1.000000
101,-0.225620,0.225620,0.162304,2.239182,2.239182,-0.353000,0.353000,0.259077,0.259077,1.178097,0.979598,1.010000
102,-0.231163,0.231163,0.158187,2.262425,2.262425,-0.353000,0.353000,0.255211,0.255211,1.178097,0.965708,1.020000
103,-0.236701,0.236701,0.154104,2.286429,2.286429,-0.353000,0.353000,0.251311,0.251311,1.178097,0.976129,1.030000
104,-0.242198,0.242198,0.150082,2.311079,2.311079,-0.353000,0.353000,0.247401,0.247401,1.178097,0.958773,1.040000
105,-0.247621,0.247621,0.146143,2.336255,2.336255,-0.353000,0.353000,0.243501,0.243501,1.178097,0.970629,1.050000
106,-0.252941,0.252941,0.142308,2.361826,2.361826,-0.353000,0.353000,0.239632,0.239632,1.178097,0.955142,1.060000
107,-0.258129,0.258129,0.138596,2.387656,2.387656,-0.353000,0.353000,0.235817,0.235817,1.178097,0.937028,1.070000
108,-0.263161,0.263161,0.135021,2.413602,2.413602,-0.353000,0.353000,0.232073,0.232073,1.178097,0.973899,1.080000
109,-0.268013,0.268013,0.131598,2.439514,2.439514,-0.353000,0.353000,0.228422,0.228422,1.178097,0.948829,1.090000
110,-0.272667,0.272667,0.128337,2.465238,2.465238,-0.353000,0.353000,0.224882,0.224882,1.178097,0.939206,1.100000
111,-0.277104,0.277104,0.125248,2.490613,2.490613,-0.353000,0.353000,0.221470,0.221470,1.178097,1.003262,1.110000
112,-0.281310,0.281310,0.122338,2.515478,2.515478,-0.353000,0.353000,0.218203,0.218203,1.178097,0.958762,1.120000
113,-0.285272,0.285272,0.119613,2.539670,2.539670,-0.353000,0.353000,0.215098,0.215098,1.178097,0.944602,1.130000
114,-0.288980,0.288980,0.117076,2.563025,2.563025,-0.353000,0.353000,0.212168,0.212168,1.178097,0.964511,1.140000
115,-0.292425,0.292425,0.114731,2.585380,2.585380,-0.353000,0.353000,0.209428,0.209428,1.178097,0.938959,1.150000
116,-0.295601,0.295601,0.112580,2.606577,2.606577,-0.353000,0.353000,0.206890,0.206890,1.178097,0.873483,1.160000
117,-0.298502,0.298502,0.110623,2.626462,2.626462,-0.353000,0.353000,0.204566,0.204566,1.178097,0.887042,1.170000
118,-0.301124,0.301124,0.108861,2.644886,2.644886,-0.353000,0.353000,0.202467,0.202467,1.178097,0.859706,1.180000
119,-0.303466,0.303466,0.107293,2.661711,2.661711,-0.353000,0.353000,0.200602,0.200602,1.178097,0.877401,1.190000
120,-0.305524,0.305524,0.105919,2.676806,2.676806,-0.353000,0.353000,0.198979,0.198979,1.178097,0.832979,1.200000
121,-0.307298,0.307298,0.104738,2.690055,2.690055,-0.353000,0.353000,0.197605,0.197605,1.178097,0.835295,1.210000
122,-0.308787,0.308787,0.103749,2.701353,2.701353,-0.353000,0.353000,0.196486,0.196486,1.178097,0.838925,1.220000
123,-0.309991,0.309991,0.102950,2.710609,2.710609,-0.353000,0.353000,0.195627,0.195627,1.178097,0.794402,1.230000
124,-0.310910,0.310910,0.102341,2.717749,2.717749,-0.353000,0.353000,0.195032,0.195032,1.178097,0.794266,1.240000
125,-0.311545,0.311545,0.101922,2.722715,2.722715,-0.353000,0.353000,0.194703,0.194703,1.178097,0.789005,1.250000
126,-0.311895,0.311895,0.101690,2.725467,2.725467,-0.353000,0.353000,0.194641,0.194641,1.178097,0.728511,1.260000
127,-0.311960,0.311960,0.101647,2.725981,2.725981,-0.353000,0.353000,0.194848,0.194848,1.178097,0.694122,1.270000
128,-0.311741,0.311741,0.101792,2.724255,2.724255,-0.353000,0.353000,0.195321,0.195321,1.178097,0.720797,1.280000
129,-0.311237,0.311237,0.102125,2.720301,2.720301,-0.353000,0.353000,0.196059,0.196059,1.178097,0.785179,1.290000
130,-0.310448,0.310448,0.102647,2.714153,2.714153,-0.353000,0.353000,0.197059,0.197059,1.178097,0.798241,1.300000
131,-0.309375,0.309375,0.103359,2.705859,2.705859,-0.353000,0.353000,0.198317,0.198317,1.178097,0.793587,1.310000
132,-0.308017,0.308017,0.104260,2.695489,2.695489,-0.353000,0.353000,0.199827,0.199827,1.178097,0.836538,1.320000
133,-0.306373,0.306373,0.105353,2.683123,2.683123,-0.353000,0.353000,0.201582,0.201582,1.178097,0.830488,1.330000
134,-0.304445,0.304445,0.106638,2.668861,2.668861,-0.353000,0.353000,0.203575,0.203575,1.178097,0.823248,1.340000
135,-0.302234,0.302234,0.108117,2.652815,2.652815,-0.353000,0.353000,0.205796,0.205796,1.178097,0.859122,1.350000
136,-0.299740,0.299740,0.109790,2.635108,2.635108,-0.353000,0.353000,0.208237,0.208237,1.178097,0.847607,1.360000
137,-0.296967,0.296967,0.111657,2.615876,2.615876,-0.353000,0.353000,0.210886,0.210886,1.178097,0.880691,1.370000
138,-0.293916,0.293916,0.113720,2.595262,2.595262,-0.353000,0.353000,0.213730,0.213730,1.178097,0.873682,1.380000
139,-0.290594,0.290594,0.115976,2.573419,2.573419,-0.353000,0.353000,0.216757,0.216757,1.178097,0.903839,1.390000
140,-0.287006,0.287006,0.118425,2.550503,2.550503,-0.353000,0.353000,0.219952,0.219952,1.178097,0.896130,1.400000
141,-0.283159,0.283159,0.121064,2.526675,2.526675,-0.353000,0.353000,0.223299,0.223299,1.178097,0.916471,1.410000
